Date,^GSPC,^DJI,^GSPTSE,QQQM,SFY,VDY.TO,XHU.TO,CADUSD=X,CAD=X
2008-04-09,1354.489990234375,12527.259765625,13750.599609375,,,,,0.9816432595252991,1.0187000036239624
2008-04-10,1360.550048828125,12581.98046875,13909.599609375,,,,,0.9821252822875977,1.0182000398635864
2008-04-11,1332.8299560546875,12325.419921875,13683.0,,,,,0.9794319272041321,1.0210000276565552
2008-04-14,1328.3199462890625,12302.0595703125,13738.599609375,,,,,0.9809691905975342,1.0194000005722046
2008-04-15,1334.4300537109375,12362.4697265625,13851.0,,,,,0.9828975796699524,1.0174000263214111
2008-04-16,1364.7099609375,12619.26953125,14099.5,,,,,0.9998999834060669,1.000100016593933
2008-04-17,1365.56005859375,12620.490234375,14115.5,,,,,0.9899029731750488,1.010200023651123
2008-04-18,1390.3299560546875,12849.3603515625,14237.099609375,,,,,0.9964129328727722,1.003600001335144
2008-04-21,1388.1700439453125,12825.01953125,14321.2001953125,,,,,0.99443119764328,1.0055999755859375
2008-04-22,1375.93994140625,12720.23046875,14266.2998046875,,,,,0.9932458996772766,1.0068000555038452
2008-04-23,1379.9300537109375,12763.2197265625,14069.7998046875,,,,,0.9838646650314331,1.0163999795913696
2008-04-24,1388.8199462890625,12848.9501953125,13966.2998046875,,,,,0.9861932396888733,1.0140000581741333
2008-04-25,1397.8399658203125,12891.8603515625,14103.900390625,,,,,0.9841550588607788,1.0161000490188599
2008-04-28,1396.3699951171875,12871.75,14085.900390625,,,,,0.9876542687416077,1.0125000476837158
2008-04-29,1390.93994140625,12831.9404296875,13825.599609375,,,,,0.9879470467567444,1.0121999979019165
2008-04-30,1385.5899658203125,12820.1298828125,13937.0,,,,,0.9920634627342224,1.0080000162124634
2008-05-01,1409.3399658203125,13010.0,14065.7998046875,,,,,,
2008-05-02,1413.9000244140625,13058.2001953125,14280.2998046875,,,,,0.982607901096344,1.017699956893921
2008-05-05,1407.489990234375,12969.5400390625,14274.2998046875,,,,,0.9872642755508423,1.0128999948501587
2008-05-06,1418.260009765625,13020.830078125,14414.2998046875,,,,,0.9976056814193726,1.0024000406265259
2008-05-07,1392.5699462890625,12814.349609375,14371.5,,,,,0.9914733171463013,1.0085999965667725
2008-05-08,1397.6800537109375,12866.7802734375,14608.0,,,,,0.9837678074836731,1.0164999961853027
2008-05-09,1388.280029296875,12745.8798828125,14521.2001953125,,,,,0.9943323135375977,1.0056999921798706
2008-05-12,1403.5799560546875,12876.3095703125,14666.099609375,,,,,0.9948268532752991,1.0052000284194946
2008-05-13,1403.0400390625,12832.1796875,14616.7001953125,,,,,0.9963136315345764,1.0037000179290771
2008-05-14,1408.6600341796875,12898.3798828125,14626.2998046875,,,,,0.9959167838096619,1.00409996509552
2008-05-15,1423.5699462890625,12992.66015625,14828.099609375,,,,,1.000400185585022,0.9995999932289124
2008-05-16,1425.3499755859375,12986.7998046875,14984.2001953125,,,,,1.0,1.0
2008-05-19,1426.6300048828125,13028.16015625,,,,,,1.0082677602767944,0.9918000102043152
2008-05-20,1413.4000244140625,12828.6796875,15047.2998046875,,,,,1.0078612565994263,0.9922000169754028
2008-05-21,1390.7099609375,12601.1904296875,14790.400390625,,,,,1.016466736793518,0.9837999939918518
2008-05-22,1394.3499755859375,12625.6201171875,14792.400390625,,,,,1.0158472061157227,0.9843999743461609
2008-05-23,1375.9300537109375,12479.6298828125,14723.400390625,,,,,1.012145757675171,0.9879999756813049
2008-05-27,1385.3499755859375,12548.349609375,14522.099609375,,,,,1.0063399076461792,0.9937000274658203
2008-05-28,1390.8399658203125,12594.0302734375,14688.599609375,,,,,1.0109179019927979,0.9891999959945679
2008-05-29,1398.260009765625,12646.2197265625,14577.2001953125,,,,,1.0114291906356812,0.9886999726295471
2008-05-30,1400.3800048828125,12638.3203125,14714.7001953125,,,,,1.0066438913345337,0.993399977684021
2008-06-02,1385.6700439453125,12503.8203125,14814.2001953125,,,,,0.9989012479782104,1.001099944114685
2008-06-03,1377.6500244140625,12402.849609375,14728.599609375,,,,,0.9918666481971741,1.0082000494003296
2008-06-04,1377.199951171875,12390.48046875,14690.5,,,,,0.9834775328636169,1.016800045967102
2008-06-05,1404.050048828125,12604.4501953125,14982.900390625,,,,,0.9828975796699524,1.0174000263214111
2008-06-06,1360.6800537109375,12209.8095703125,14969.599609375,,,,,0.9821252822875977,1.0182000398635864
2008-06-09,1361.760009765625,12280.3203125,14960.7998046875,,,,,0.978090763092041,1.0224000215530396
2008-06-10,1358.43994140625,12289.759765625,14736.2001953125,,,,,0.9782821536064148,1.0221999883651733
2008-06-11,1335.489990234375,12083.76953125,14716.5,,,,,0.9808729887008667,1.0195000171661377
2008-06-12,1339.8699951171875,12141.580078125,14602.599609375,,,,,0.9775171279907227,1.0230000019073486
2008-06-13,1360.030029296875,12307.349609375,14778.5,,,,,0.9713453054428101,1.0295000076293945
